Date,Open,High,Low,Close,Volume
2007-07-08,39.3,40.56,39.25,40.53,1585200.0
2007-07-01,37.76,38.02,37.62,37.89,490600.0
2007-06-24,38.84,39.09,38.39,38.79,819900.0
2007-06-17,38.78,39.14,38.54,39.09,610000.0
2007-06-10,37.91,38.51,37.4,38.29,998500.0
2007-06-03,39.73,40.14,39.71,40.06,1521900.0
2007-05-27,38.22,38.47,37.91,38.26,457500.0
2007-05-20,38.66,39.21,38.53,39.01,751500.0
2007-05-13,39.67,40.04,39.67,39.92,424400.0
2007-05-06,41.12,41.4,40.63,40.71,383400.0
2007-04-29,40.16,40.43,40.04,40.34,408200.0
2007-04-22,41.65,41.86,41.32,41.47,357500.0
2007-04-15,41.55,42.6,41.51,42.35,852800.0
2007-04-08,41.25,41.5,41.08,41.17,457200.0
2007-04-01,39.7,39.8,39.36,39.57,399500.0
2007-03-25,39.91,40.0,39.48,39.83,430800.0
2007-03-18,38.65,39.03,38.15,38.36,1328200.0
2007-03-11,38.7,38.7,37.97,38.03,576800.0
2007-03-04,38.5,39.03,37.66,37.68,1291600.0
2007-02-25,42.4,43.32,41.76,41.83,1077000.0
2007-02-18,40.8,41.03,40.71,40.94,363800.0
2007-02-11,40.42,40.81,39.92,40.11,915100.0
2007-02-04,39.33,39.5,38.95,39.32,640900.0
2007-01-28,39.1,39.24,38.5,39.2,445100.0
2007-01-21,37.2,37.7,36.99,37.53,483700.0
2007-01-14,37.05,37.96,36.95,37.9,682900.0
2007-01-07,36.89,37.34,36.65,37.21,1865300.0
2006-12-31,40.0,40.0,39.55,39.91,548200.0
2006-12-24,38.95,38.95,38.31,38.69,607300.0
2006-12-17,40.58,40.79,39.51,39.76,998800.0
2006-12-10,41.55,41.62,40.3,40.5,789500.0
2006-12-03,41.85,41.99,41.22,41.54,1053900.0
2006-11-26,39.93,40.21,39.65,39.9,588000.0
2006-11-19,37.04,37.67,36.67,37.35,671900.0
2006-11-12,39.56,39.71,38.79,39.01,681400.0
2006-11-05,38.3,38.95,38.25,38.8,1441700.0
2006-10-29,37.2,37.57,36.84,36.84,431600.0
2006-10-22,36.29,36.6,35.73,35.74,492400.0
2006-10-15,35.25,35.8,35.16,35.79,976900.0
2006-10-08,34.48,34.86,33.77,34.37,458000.0
2006-10-01,35.4,36.22,35.4,35.65,342000.0
2006-09-24,35.65,35.65,34.8,34.85,886000.0
2006-09-17,35.01,35.47,34.34,35.23,784400.0
2006-09-10,39.6,39.6,39.1,39.24,749800.0
2006-09-03,40.25,41.08,40.01,40.89,241700.0
2006-08-27,40.1,40.34,39.8,39.98,188100.0
2006-08-20,38.55,38.55,37.62,38.38,317100.0
